id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
5odlY52u43F5BjByhxg7wg,https://p.scdn.co/mp3-preview/9366faeabeb12cf9a823293f8a200162a1b3b80a?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,https://api.spotify.com/v1/audio-analysis/5odlY52u43F5BjByhxg7wg,209260
7H0ya83CMmgFcOhw0UB6ow,https://p.scdn.co/mp3-preview/3a4f40f7d008abcf7fb1e19fe694fca5306980cc?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.508,0.792,0,-7.311,0,0.0297,0.229,0.124,0.145,0.601,147.067,https://api.spotify.com/v1/audio-analysis/7H0ya83CMmgFcOhw0UB6ow,320467
4SqWKzw0CbA05TGszDgMlc,https://p.scdn.co/mp3-preview/1e70f4d6f4b294b029b9b8c289e950b4cc2c90b8?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,https://api.spotify.com/v1/audio-analysis/4SqWKzw0CbA05TGszDgMlc,160240
6dBUzqjtbnIa1TwYbyw5CM,https://p.scdn.co/mp3-preview/4644fdeda107d411db333417c1084099dcd537b1?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.559,0.871,5,-5.338,0,0.0397,7.53e-06,0.00545,0.096,0.572,104.97,https://api.spotify.com/v1/audio-analysis/6dBUzqjtbnIa1TwYbyw5CM,213920
7EkWXAI1wn8Ii883ecd9xr,https://p.scdn.co/mp3-preview/63aca5dd766d1f3601324054fb82de05dce4a6a7?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.345,0.941,9,-9.918,1,0.0466,3.84e-05,0.633,0.0511,0.407,179.626,https://api.spotify.com/v1/audio-analysis/7EkWXAI1wn8Ii883ecd9xr,147062
51Grh1RyUDcMBbpuyUIUHI,https://p.scdn.co/mp3-preview/9c60083736058a8715bc5bc075d1d4f60759cc8b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.483,0.129,5,-20.149,0,0.0349,0.947,0.145,0.106,0.203,137.35,https://api.spotify.com/v1/audio-analysis/51Grh1RyUDcMBbpuyUIUHI,161929
4yNk9iz9WVJikRFle3XEvn,https://p.scdn.co/mp3-preview/9366faeabeb12cf9a823293f8a200162a1b3b80a?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,94.467,https://api.spotify.com/v1/audio-analysis/4yNk9iz9WVJikRFle3XEvn,209260
3IznIgmXtrUaoPWpQTy5jB,https://p.scdn.co/mp3-preview/092f2aab29448fcf2313104c4cf6d58750ae34df?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.67,0.905,1,-6.855,1,0.129,0.669,0.000227,0.349,0.563,104.965,https://api.spotify.com/v1/audio-analysis/3IznIgmXtrUaoPWpQTy5jB,167864
2vWBUC9djv6BtiGlmKiQaH,https://p.scdn.co/mp3-preview/d9fe7c27b4f3d4550818787b03d54fc822a2a012?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.372,0.537,9,-7.623,1,0.0305,0.937,0.873,0.287,0.228,123.735,https://api.spotify.com/v1/audio-analysis/2vWBUC9djv6BtiGlmKiQaH,212750
6QeYSvYqYUsfBzsApbjDHO,https://p.scdn.co/mp3-preview/bda5dbf319b39658d0eff98ba82c8e31b33b3450?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.625,0.659,0,-5.669,1,0.0337,0.12,0.0,0.17,0.594,113.551,https://api.spotify.com/v1/audio-analysis/6QeYSvYqYUsfBzsApbjDHO,198961
0JIMT9gzLIIz0esKLyjbKf,https://p.scdn.co/mp3-preview/d67581e638534feadd2b5edd14c470ebc16c6316?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.526,0.447,2,-9.268,1,0.0274,0.00283,0.0301,0.109,0.183,74.995,https://api.spotify.com/v1/audio-analysis/0JIMT9gzLIIz0esKLyjbKf,212432
3jjsRKEsF42ccXf8kWR3nu,https://p.scdn.co/mp3-preview/98f30beb386e498769af3ab95730864c7ab4e6fa?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.613,0.822,9,-4.087,1,0.026,0.0092,0.506,0.429,0.567,105.997,https://api.spotify.com/v1/audio-analysis/3jjsRKEsF42ccXf8kWR3nu,128199
3Z0qLOS0cqWKPHXkbTXmNF,https://p.scdn.co/mp3-preview/e6a5d00b25a97511c03b0845225388b4d517fd3d?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.4,0.571,11,-6.534,0,0.0288,0.468,3.05e-05,0.519,0.146,61.859,https://api.spotify.com/v1/audio-analysis/3Z0qLOS0cqWKPHXkbTXmNF,212736
1KIJclzEbNhSVw8tiHPWwE,https://p.scdn.co/mp3-preview/908bc62d7a0f775650e7e13f57f9af1468078385?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.498,0.81,7,-4.065,1,0.0263,0.00392,0.00717,0.0635,0.594,79.935,https://api.spotify.com/v1/audio-analysis/1KIJclzEbNhSVw8tiHPWwE,189160
6IPwKM3fUUzlElbvKw2sKl,https://p.scdn.co/mp3-preview/3f27350efb1d9d1a8a81177c1e7866bb9b20ad9b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.566,0.366,7,-12.808,1,0.028,0.113,0.181,0.155,0.237,129.96,https://api.spotify.com/v1/audio-analysis/6IPwKM3fUUzlElbvKw2sKl,184154
01TyFEZu6mHbffsVfxgrFn,https://p.scdn.co/mp3-preview/beadcd3b98ffd1fc24333de3238ba582147dc7fc?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.791,0.267,5,-11.997,1,0.0415,0.674,0.534,0.102,0.544,165.99,https://api.spotify.com/v1/audio-analysis/01TyFEZu6mHbffsVfxgrFn,215111
0qOCy2LqvdkMora7eZsJhQ,https://p.scdn.co/mp3-preview/3b22aff8f6b637aed7c3cd7c35ae094e12c0c8d3?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.392,0.429,5,-10.279,0,0.0462,0.527,0.015,0.217,0.105,72.104,https://api.spotify.com/v1/audio-analysis/0qOCy2LqvdkMora7eZsJhQ,57370
0sTlGEld0h8kIPZaKDYUf4,https://p.scdn.co/mp3-preview/34dee9f4a7511e89aaeaae3ba8b643de5ecd8c18?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.309,0.883,9,-3.825,1,0.0808,0.0673,0.00111,0.0849,0.312,159.488,https://api.spotify.com/v1/audio-analysis/0sTlGEld0h8kIPZaKDYUf4,195121
02MWAaffLxlfxAUY7c5dvx,https://p.scdn.co/mp3-preview/0c5c9c3c016c5053aeccf9980a4eb1644ab7fac2?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx,238805
2PWTZV5znjLtZC5T1EVJvL,https://p.scdn.co/mp3-preview/e25f8a83120c2cb4042d77e5df267810a1503713?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.422,0.44,11,-5.53,1,0.0544,0.617,0.0,0.0837,0.332,128.934,https://api.spotify.com/v1/audio-analysis/2PWTZV5znjLtZC5T1EVJvL,120308
2enPRFda84VE2wtI8c86Uf,https://p.scdn.co/mp3-preview/f3dd520dd39a919980983c0f72cae46db173bb0b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.174,0.742,8,-5.93,1,0.0485,0.00181,0.281,0.198,0.36,163.378,https://api.spotify.com/v1/audio-analysis/2enPRFda84VE2wtI8c86Uf,223747
0I1eFRytp4XRhLCjT6tZm7,https://p.scdn.co/mp3-preview/847426fb8728d3d476814c1d3a719a6b6dc9a7e7?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.247,0.438,5,-8.478,1,0.0358,0.0447,0.000867,0.111,0.39,185.711,https://api.spotify.com/v1/audio-analysis/0I1eFRytp4XRhLCjT6tZm7,198213
2GiJYvgVaD2HtM8GqD9EgQ,https://p.scdn.co/mp3-preview/f1ec0c77035cf015f00a2e44d92a598f59f0b1c7?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,https://api.spotify.com/v1/audio-analysis/2GiJYvgVaD2HtM8GqD9EgQ,218107
41P6Tnd8KIHqON0QIydx6a,https://p.scdn.co/mp3-preview/97d53c89ba75fe0018c02792b52ca21bbf8d37a8?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.634,0.663,11,-6.818,1,0.0331,0.433,0.124,0.102,0.6,146.053,https://api.spotify.com/v1/audio-analysis/41P6Tnd8KIHqON0QIydx6a,177533
1170VohRSx6GwE6QDCHPPH,https://p.scdn.co/mp3-preview/f3b1ebf9e0159a13dcda19f3855949b45fbd8bb9?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,https://api.spotify.com/v1/audio-analysis/1170VohRSx6GwE6QDCHPPH,282206
7w87IxuO7BDcJ3YUqCyMTT,https://p.scdn.co/mp3-preview/94af9decce099ddf280c3c6f866ce41b0460a1bc?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.733,0.71,5,-5.849,0,0.0292,0.145,0.115,0.0956,0.965,127.975,https://api.spotify.com/v1/audio-analysis/7w87IxuO7BDcJ3YUqCyMTT,239600
6MpCaSIOfqBqbMED4kXgNY,https://p.scdn.co/mp3-preview/bafbab11dddaf75e559f7367390aa1d84a6f80a7?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.528,0.797,4,-7.487,1,0.0485,0.000391,0.011,0.14,0.751,143.785,https://api.spotify.com/v1/audio-analysis/6MpCaSIOfqBqbMED4kXgNY,136562
3USxtqRwSYz57Ewm6wWRMp,https://p.scdn.co/mp3-preview/0c5c9c3c016c5053aeccf9980a4eb1644ab7fac2?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.761,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,https://api.spotify.com/v1/audio-analysis/3USxtqRwSYz57Ewm6wWRMp,238805
0TZejo18HlJ86OrWNsXKnw,https://p.scdn.co/mp3-preview/a36662599a1e57d31d47ae2177e44cb715675801?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.471,0.634,8,-7.406,1,0.031,0.159,0.365,0.374,0.366,132.542,https://api.spotify.com/v1/audio-analysis/0TZejo18HlJ86OrWNsXKnw,208500
2IVsRhKrx8hlQBOWy4qebo,https://p.scdn.co/mp3-preview/088b3208492a877720eb51a58fee172a0c374123?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.639,0.526,0,-6.697,1,0.0256,0.245,2.43e-05,0.25,0.488,130.033,https://api.spotify.com/v1/audio-analysis/2IVsRhKrx8hlQBOWy4qebo,216880
0j3mqDTK4Z6lvrLzFCUUz6,https://p.scdn.co/mp3-preview/570b5201c7a5c95ad386b6072b1397b996b5ad7d?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.364,0.554,4,-9.076,1,0.0301,0.077,0.000297,0.125,0.257,150.079,https://api.spotify.com/v1/audio-analysis/0j3mqDTK4Z6lvrLzFCUUz6,214800
1ZdhOMWyFR8Iv9eylMGYg2,https://p.scdn.co/mp3-preview/ae60caec57693955f74eda1a5b98dde0e41b1fe5?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.494,0.428,0,-7.239,0,0.205,0.236,0.0698,0.0816,0.44,87.724,https://api.spotify.com/v1/audio-analysis/1ZdhOMWyFR8Iv9eylMGYg2,157497
3sslYZcFKtUvIEWN9lADgr,https://p.scdn.co/mp3-preview/2f2d7de4decf8a7a1c3e0dc2c26d886769f14159?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.445,0.543,0,-8.196,1,0.0272,0.000825,0.0137,0.202,0.102,99.963,https://api.spotify.com/v1/audio-analysis/3sslYZcFKtUvIEWN9lADgr,278640
751srcHf5tUqcEa9pRCQwP,https://p.scdn.co/mp3-preview/2c20f7396f1bcdcf6e7a50b63e375c973e7da5f3?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995,https://api.spotify.com/v1/audio-analysis/751srcHf5tUqcEa9pRCQwP,191823
2iUmqdfGZcHIhS3b9E9EWq,https://p.scdn.co/mp3-preview/01a67ce75eded0b0a2b7c1914a6a2844e6df3457?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.471,0.924,8,-3.906,1,0.0586,0.00301,0.0,0.313,0.725,154.961,https://api.spotify.com/v1/audio-analysis/2iUmqdfGZcHIhS3b9E9EWq,177280
5T0Ib1Hjhsua7qbGTczU7j,https://p.scdn.co/mp3-preview/7a41d46e2f2546fcea808ddd28c58bcd41a742bc?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.693,0.467,4,-9.558,0,0.043,0.0497,0.452,0.107,0.402,105.958,https://api.spotify.com/v1/audio-analysis/5T0Ib1Hjhsua7qbGTczU7j,197733
3zksbXteOCeSusJ5Xltr3t,https://p.scdn.co/mp3-preview/79f7a5c7841ae358a1060a3a872f2a97d4710bc9?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.509,0.0167,9,-24.639,1,0.115,0.979,2.72e-05,0.387,0.229,207.97,https://api.spotify.com/v1/audio-analysis/3zksbXteOCeSusJ5Xltr3t,175961
5xo8RrjJ9CVNrtRg2S3B1R,https://p.scdn.co/mp3-preview/d0431348d6fa0181868e0bcbb5500ca64a52906f?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.651,0.546,1,-9.021,1,0.0357,0.774,0.0437,0.0842,0.623,107.021,https://api.spotify.com/v1/audio-analysis/5xo8RrjJ9CVNrtRg2S3B1R,229760
0MnTkIEP4zZN1IUSu8MvIz,https://p.scdn.co/mp3-preview/350c15d103cd806b2270e3fbd31223f015723d7b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.348,0.95,10,-5.049,0,0.124,9.93e-05,9.68e-06,0.0868,0.377,168.964,https://api.spotify.com/v1/audio-analysis/0MnTkIEP4zZN1IUSu8MvIz,166859
6Szgu8v7CAapag3XuuJX0b,https://p.scdn.co/mp3-preview/af70ef930435b90ec0a43a5ee3e0732bbc6f4496?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.668,0.618,10,-4.639,1,0.0607,0.125,0.0,0.112,0.389,120.951,https://api.spotify.com/v1/audio-analysis/6Szgu8v7CAapag3XuuJX0b,156632
5411TEB6tlzvuF5A4oyldr,https://p.scdn.co/mp3-preview/8f5cfbcd80764eed54142e8992d784f3f31aac9b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.535,0.448,2,-9.167,1,0.0279,0.00262,1.94e-05,0.115,0.32,101.986,https://api.spotify.com/v1/audio-analysis/5411TEB6tlzvuF5A4oyldr,149680
6EtKlIQmGPB9SX8UjDJG5s,https://p.scdn.co/mp3-preview/8ca2c6146ade86eef77e9326c083ed25377cb315?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.574,0.664,11,-6.068,1,0.0409,0.0448,0.0553,0.146,0.226,144.654,https://api.spotify.com/v1/audio-analysis/6EtKlIQmGPB9SX8UjDJG5s,91870
7B3z0ySL9Rr0XvZEAjWZzM,https://p.scdn.co/mp3-preview/8b9df9911791f7172ddcbae35151a61156e0e6b0?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.744,0.619,0,-9.805,1,0.039,0.598,0.00372,0.231,0.641,112.997,https://api.spotify.com/v1/audio-analysis/7B3z0ySL9Rr0XvZEAjWZzM,188387
5NvOZCjZaGGGL597exlQWv,https://p.scdn.co/mp3-preview/1f9372947ebb54d0e7489f7cd7091fbd7c3e3fd4?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.432,0.652,8,-4.969,1,0.0285,0.262,0.0,0.258,0.507,190.028,https://api.spotify.com/v1/audio-analysis/5NvOZCjZaGGGL597exlQWv,249587
57RA3JGafJm5zRtKJiKPIm,https://p.scdn.co/mp3-preview/7939d1ed65d45d736120771dffa0f2785c93f60d?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.682,0.683,8,-6.444,0,0.0287,0.156,2.32e-05,0.273,0.64,120.023,https://api.spotify.com/v1/audio-analysis/57RA3JGafJm5zRtKJiKPIm,178000
1XrSjpNe49IiygZfzb74pk,https://p.scdn.co/mp3-preview/96d6057b0f98c8742e9deb2ca1ba3c65d0c601e2?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,https://api.spotify.com/v1/audio-analysis/1XrSjpNe49IiygZfzb74pk,255067
2P5yIMu2DNeMXTyOANKS6k,https://p.scdn.co/mp3-preview/4f3edf8024b83bc0eabd9cdd96f772d5733240e8?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.398,0.717,0,-5.253,1,0.0398,0.07,0.0,0.085,0.487,117.296,https://api.spotify.com/v1/audio-analysis/2P5yIMu2DNeMXTyOANKS6k,193429
4vHNeBWDQpVCmGbaccrRzi,https://p.scdn.co/mp3-preview/7cddf5bf24a9534278fdef4a85386a9a2d2e7ccc?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.739,0.522,7,-12.304,0,0.151,0.821,0.00124,0.233,0.619,138.263,https://api.spotify.com/v1/audio-analysis/4vHNeBWDQpVCmGbaccrRzi,146390
3Wrjm47oTz2sjIgck11l5e,https://p.scdn.co/mp3-preview/a6b909e080edfe85b929c44effa90878fbaf2320?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.714,0.8,11,-4.808,0,0.0504,0.127,0.0,0.359,0.589,134.002,https://api.spotify.com/v1/audio-analysis/3Wrjm47oTz2sjIgck11l5e,211560
3pANfZVFdtuVnJsE6xa5Ox,https://p.scdn.co/mp3-preview/50db8fed2edef6fd1e62f8111524f80342098f56?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.497,0.638,1,-5.31,1,0.0274,0.0467,0.0,0.385,0.77,172.01,https://api.spotify.com/v1/audio-analysis/3pANfZVFdtuVnJsE6xa5Ox,137142
5WbfFTuIldjL9x7W6y5l7R,https://p.scdn.co/mp3-preview/54b1926351a949c9350bdd2a8ab3fa0d030f5fab?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.73,0.355,10,-9.13,0,0.0359,0.154,0.00155,0.117,0.56,142.143,https://api.spotify.com/v1/audio-analysis/5WbfFTuIldjL9x7W6y5l7R,202653
3DamFFqW32WihKkTVlwTYQ,https://p.scdn.co/mp3-preview/c36ef44643a44faedd815d4f74daa48ac9901a33?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.512,0.662,3,-6.797,1,0.0439,0.0275,0.0,0.118,0.472,180.114,https://api.spotify.com/v1/audio-analysis/3DamFFqW32WihKkTVlwTYQ,228347
5S5u0EWtlblH00iTNExZ6X,https://p.scdn.co/mp3-preview/710e7e56a62befb701474e4997399228b611320b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.622,0.471,9,-7.105,1,0.0277,0.0448,0.0,0.0957,0.278,124.455,https://api.spotify.com/v1/audio-analysis/5S5u0EWtlblH00iTNExZ6X,278293
6vFsBXYczYsP0H3lgunZOm,https://p.scdn.co/mp3-preview/c22cbc6e83f2cdc9b138f5065a40ec36d1927b72?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.637,0.929,4,-3.593,1,0.0491,0.00167,2.62e-05,0.344,0.902,80.974,https://api.spotify.com/v1/audio-analysis/6vFsBXYczYsP0H3lgunZOm,147351
3n69hLUdIsSa1WlRmjMZlW,https://p.scdn.co/mp3-preview/84457687bf485872a1fe82d51a638640cab90d6a?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.615,0.658,5,-7.299,1,0.0343,0.096,0.000911,0.205,0.293,150.093,https://api.spotify.com/v1/audio-analysis/3n69hLUdIsSa1WlRmjMZlW,227080
7sIx70dGj3VBiHWr0KZXfD,https://p.scdn.co/mp3-preview/2e031222dbc3c35f6ed12346a9c61187383cf15a?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.776,0.626,6,-12.561,1,0.0396,0.622,0.899,0.086,0.866,122.072,https://api.spotify.com/v1/audio-analysis/7sIx70dGj3VBiHWr0KZXfD,194733
0vf2eBw2inhl8y61cYQMv2,https://p.scdn.co/mp3-preview/fd76daa1459f5a303e482f7b073da2debf7bcf6b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.576,0.759,3,-8.165,1,0.0599,0.12,0.0,0.121,0.501,99.969,https://api.spotify.com/v1/audio-analysis/0vf2eBw2inhl8y61cYQMv2,179955
5Hroj5K7vLpIG4FNCRIjbP,https://p.scdn.co/mp3-preview/e1cf9153e6b5293a696b66d9a8424aec15fa9c5e?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.673,0.902,2,-2.392,1,0.0346,0.0591,0.000262,0.0558,0.538,100.012,https://api.spotify.com/v1/audio-analysis/5Hroj5K7vLpIG4FNCRIjbP,194240
61OJxhoY3Ix50rYVKo8zRK,https://p.scdn.co/mp3-preview/1eca7d29ace8e6a4f103304ae09172ea88abd609?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.641,0.842,9,-7.27,1,0.0292,0.134,0.911,0.419,0.499,129.978,https://api.spotify.com/v1/audio-analysis/61OJxhoY3Ix50rYVKo8zRK,278769
4ZHGRFGwjnEIXHG2FhcDPv,https://p.scdn.co/mp3-preview/f0630b0f2e2a25f6440636a7a3b54892294cc094?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.197,0.247,3,-8.542,1,0.0306,0.934,0.0163,0.111,0.407,75.787,https://api.spotify.com/v1/audio-analysis/4ZHGRFGwjnEIXHG2FhcDPv,185176
2PWVxWymGDZKj5BZJB7dAR,https://p.scdn.co/mp3-preview/6c0ec9ee608c45cfd97d3446bec4f4d41233fa5c?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.946,0.483,0,-8.24,1,0.148,0.0117,3.49e-06,0.328,0.429,123.041,https://api.spotify.com/v1/audio-analysis/2PWVxWymGDZKj5BZJB7dAR,197381
50x1Ic8CaXkYNvjmxe3WXy,https://p.scdn.co/mp3-preview/3db5de5c2dc43205117ceb3bb87cd941b7d44ed5?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.593,0.352,4,-8.296,1,0.0284,0.695,2.22e-05,0.3,0.226,119.988,https://api.spotify.com/v1/audio-analysis/50x1Ic8CaXkYNvjmxe3WXy,220750
2VFetGqLYq0Pc8ZtRYCaeL,https://p.scdn.co/mp3-preview/1b7b25bec150bb200b6f37c10c4461116a6a2968?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.364,0.294,0,-6.578,0,0.0504,0.833,0.0,0.264,0.125,79.477,https://api.spotify.com/v1/audio-analysis/2VFetGqLYq0Pc8ZtRYCaeL,227749
3GBApU0NuzH4hKZq4NOSdA,https://p.scdn.co/mp3-preview/4a1843c332f22b1b89c93196f30fa67d34111457?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.563,0.739,6,-4.239,0,0.0416,0.00073,1.45e-05,0.0822,0.775,139.0,https://api.spotify.com/v1/audio-analysis/3GBApU0NuzH4hKZq4NOSdA,191707
1Ame8XTX6QHY0l0ahqUhgv,https://p.scdn.co/mp3-preview/b4b55444142c73b6981424e3a187e086b75f6eac?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.519,0.595,2,-5.001,1,0.0283,0.00151,0.0,0.0762,0.237,129.786,https://api.spotify.com/v1/audio-analysis/1Ame8XTX6QHY0l0ahqUhgv,247067
4RxdAzEmkPXTiIU6ULLoXh,https://p.scdn.co/mp3-preview/5e15ee69a65339fb259bf8f16487646c76c3ff3e?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.707,0.474,1,-4.603,1,0.0672,0.578,0.0,0.11,0.538,109.991,https://api.spotify.com/v1/audio-analysis/4RxdAzEmkPXTiIU6ULLoXh,157636
2Co0IjcLTSHMtodwD4gzfg,https://p.scdn.co/mp3-preview/28a4d2ff75751157ef7954aafb6facfb2ac90402?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.398,0.493,9,-9.561,1,0.0303,0.00347,0.000157,0.106,0.412,82.048,https://api.spotify.com/v1/audio-analysis/2Co0IjcLTSHMtodwD4gzfg,170240
2kS6td1yvmpNgZTt1q5pQq,https://p.scdn.co/mp3-preview/386e78261faa0daa2d3703f65d59a2a68e2f76fc?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.527,0.922,9,-2.666,0,0.0728,0.00475,0.000162,0.422,0.49,95.975,https://api.spotify.com/v1/audio-analysis/2kS6td1yvmpNgZTt1q5pQq,181680
755inykyaG4w22GWAsA3MX,https://p.scdn.co/mp3-preview/6205cb8b6bb0488d40ea2fab5cabf988457878e8?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.466,0.823,2,-6.635,1,0.311,0.00237,0.000321,0.332,0.782,175.797,https://api.spotify.com/v1/audio-analysis/755inykyaG4w22GWAsA3MX,68523
1F6IbA7di42uPc3cff8PXV,https://p.scdn.co/mp3-preview/41d89bdb5d18c11018548c0f2b4edcaee4cf3a6a?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,https://api.spotify.com/v1/audio-analysis/1F6IbA7di42uPc3cff8PXV,123884
7fyG2MquxykO3Ufiku1Dj2,https://p.scdn.co/mp3-preview/6d0d78f7da386ccfbba9cd50ae88992ad3aa543b?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.612,0.196,7,-19.489,0,0.0359,0.706,0.319,0.111,0.142,73.489,https://api.spotify.com/v1/audio-analysis/7fyG2MquxykO3Ufiku1Dj2,158801
2CuBUQZY5SmOaISKWUO9m9,https://p.scdn.co/mp3-preview/f835cd5d898498412389936d9ce5df86b5fb2452?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.578,0.385,11,-12.167,1,0.0534,0.903,0.258,0.101,0.462,135.895,https://api.spotify.com/v1/audio-analysis/2CuBUQZY5SmOaISKWUO9m9,214867
74f0dpqHhTeTJzs4pmZ1yq,https://p.scdn.co/mp3-preview/18a379005f6e9bedb71025c97c5c8663d534a731?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.594,0.355,7,-11.184,1,0.0305,0.0478,0.000109,0.0559,0.327,134.097,https://api.spotify.com/v1/audio-analysis/74f0dpqHhTeTJzs4pmZ1yq,269412
4MXE6VCvTsQitHWrAxj7Kg,https://p.scdn.co/mp3-preview/ff0c4177e8dc423457c7756fb3c72e883fdb9790?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.543,0.526,2,-9.703,1,0.0582,0.0447,0.0533,0.0778,0.384,153.0,https://api.spotify.com/v1/audio-analysis/4MXE6VCvTsQitHWrAxj7Kg,243529
3ncmoWTwJgx63LwMTyBCXf,https://p.scdn.co/mp3-preview/2444fe655bfbafce0be67827ead4674dd961fd1e?cid=7596a347c632409f9829d4c3cb9fa3c7,indie,0.52,0.546,8,-4.991,0,0.213,0.579,0.0,0.112,0.634,137.419,https://api.spotify.com/v1/audio-analysis/3ncmoWTwJgx63LwMTyBCXf,204317
