id,preview_url,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,analysis_url,duration_ms
1eyzqe2QqGZUmfcPZtrIyt,https://p.scdn.co/mp3-preview/4552d7948751997f8bfd8bcb00b3d3b5a58124b1?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.526,0.712,11,-6.525,0,0.0356,0.0161,0.0,0.179,0.32,105.009,https://api.spotify.com/v1/audio-analysis/1eyzqe2QqGZUmfcPZtrIyt,241440
5ZduaRci3iNUiDfJbBfAaf,https://p.scdn.co/mp3-preview/dc6a5d525822dacb67436e1ed9dd5a9c063fa3aa?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.874,0.869,1,-5.996,0,0.0315,0.00116,0.00238,0.164,0.726,126.027,https://api.spotify.com/v1/audio-analysis/5ZduaRci3iNUiDfJbBfAaf,102861
1MqzIgGsHP4cNjPboevsfq,https://p.scdn.co/mp3-preview/6bb63934df155a53367fea4ef21aa6380ba6c893?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.594,0.698,6,-8.645,0,0.0428,0.103,0.0,0.173,0.376,119.991,https://api.spotify.com/v1/audio-analysis/1MqzIgGsHP4cNjPboevsfq,246093
3rTnGUeDrnZV22DvRuUuXr,https://p.scdn.co/mp3-preview/eb0914d87f514a9179b880953c8c8a4d5311a832?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.437,0.229,2,-10.514,1,0.0308,0.221,0.0599,0.0935,0.0754,147.911,https://api.spotify.com/v1/audio-analysis/3rTnGUeDrnZV22DvRuUuXr,343253
5SOA0gaKMMp9cgwn3nuwk7,https://p.scdn.co/mp3-preview/40b6657a322c1b405defcb882e625ef938af6ec4?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.367,0.202,0,-11.342,1,0.0313,0.668,0.145,0.109,0.0362,121.865,https://api.spotify.com/v1/audio-analysis/5SOA0gaKMMp9cgwn3nuwk7,222354
1Fwj0wThn3kTg8D7KgWdsU,https://p.scdn.co/mp3-preview/6be992b8865c42a77184d25246fa4d1f5b4fb637?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.194,0.376,4,-11.356,1,0.0463,0.11,0.386,0.593,0.0723,48.637,https://api.spotify.com/v1/audio-analysis/1Fwj0wThn3kTg8D7KgWdsU,151827
5fnA9mkIfScSqHIpeDyvck,https://p.scdn.co/mp3-preview/4aa9688ca9ee2f742565828ef34cef801e92a116?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.763,0.875,9,-5.797,0,0.0262,0.024,5.41e-06,0.599,0.8,123.013,https://api.spotify.com/v1/audio-analysis/5fnA9mkIfScSqHIpeDyvck,189413
65uoaqX5qcjXZRheAj1qQT,https://p.scdn.co/mp3-preview/189309867a94b365b9825cc82a3de9cd6e174356?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.669,0.449,0,-7.658,0,0.0489,0.184,0.0,0.0729,0.327,114.926,https://api.spotify.com/v1/audio-analysis/65uoaqX5qcjXZRheAj1qQT,213493
2hFlY5xuAXrjY24v3a1mpZ,https://p.scdn.co/mp3-preview/7bb425980d6b728d68dad5ebdf92f8a1f73b2f97?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.437,0.666,1,-5.784,1,0.0329,9.44e-05,0.854,0.111,0.0343,128.008,https://api.spotify.com/v1/audio-analysis/2hFlY5xuAXrjY24v3a1mpZ,271656
2QVmiA93GVhWNTWQctyY1K,https://p.scdn.co/mp3-preview/189de0bb842f3e05a79308491a5dc212fb2d1b8e?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.226,0.261,2,-11.276,1,0.0339,0.0301,0.0677,0.0628,0.084,108.915,https://api.spotify.com/v1/audio-analysis/2QVmiA93GVhWNTWQctyY1K,247027
3HeZam86SuxGp1wZ3XMIjE,https://p.scdn.co/mp3-preview/b47a4c6eeccbced43030c1aea7ed51c9d6d00a43?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.808,0.538,0,-10.211,0,0.0608,0.108,0.0743,0.0555,0.416,108.026,https://api.spotify.com/v1/audio-analysis/3HeZam86SuxGp1wZ3XMIjE,173750
0hNduWmlWmEmuwEFcYvRu1,https://p.scdn.co/mp3-preview/bafce075b4bfa0b2595fbf54d89ae0f8c5399717?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.783,0.467,6,-9.474,1,0.0503,0.729,0.809,0.109,0.236,90.838,https://api.spotify.com/v1/audio-analysis/0hNduWmlWmEmuwEFcYvRu1,237793
6nGeLlakfzlBcFdZXteDq7,https://p.scdn.co/mp3-preview/7a50005d36067c7ef5fe6d7e4271e49a811bef92?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.375,0.255,10,-12.279,0,0.0376,0.815,0.0,0.0845,0.331,95.978,https://api.spotify.com/v1/audio-analysis/6nGeLlakfzlBcFdZXteDq7,316280
1YGVpvE7hKdqNArudG04Ll,https://p.scdn.co/mp3-preview/20c980956fa033b308fbc9c1020a6aa4200df14c?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.68,0.722,7,-5.214,0,0.0683,0.18,0.000137,0.339,0.2,120.012,https://api.spotify.com/v1/audio-analysis/1YGVpvE7hKdqNArudG04Ll,187990
164WaDrBFe0JPo4ie8AtP5,https://p.scdn.co/mp3-preview/13219f5733957e8e44f38b8af4c3506ead481cd6?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.778,0.554,2,-8.179,1,0.0575,0.182,1.7e-06,0.0477,0.27,129.94,https://api.spotify.com/v1/audio-analysis/164WaDrBFe0JPo4ie8AtP5,206840
1cn953iDyjW75l3fGpmCZv,https://p.scdn.co/mp3-preview/2915a41c0dff670f8b853dbf9c2b3db320e3fe55?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.642,0.695,7,-8.972,0,0.0548,0.499,5.18e-05,0.0852,0.956,176.134,https://api.spotify.com/v1/audio-analysis/1cn953iDyjW75l3fGpmCZv,201893
0SWZrEfjYMjxRJHGcdampw,https://p.scdn.co/mp3-preview/3b62944a771b842d245f1ae76e81cfabb4757330?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.793,0.487,8,-9.082,0,0.114,0.317,0.0398,0.0976,0.395,98.974,https://api.spotify.com/v1/audio-analysis/0SWZrEfjYMjxRJHGcdampw,206720
2La21GqU4fKTQLcfLxTeoz,https://p.scdn.co/mp3-preview/ab7f14caf9f72927ba180175c8ad9f1e8ba899b5?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.76,0.401,1,-9.537,0,0.0674,0.564,0.259,0.0977,0.619,115.989,https://api.spotify.com/v1/audio-analysis/2La21GqU4fKTQLcfLxTeoz,248892
62MAYDfFfVLgR2z9Icyoxf,https://p.scdn.co/mp3-preview/593cb7686711e599084e8cbce6fd5283c712805a?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.685,0.706,11,-7.02,0,0.0545,0.0894,0.0287,0.0986,0.64,155.989,https://api.spotify.com/v1/audio-analysis/62MAYDfFfVLgR2z9Icyoxf,172293
4B6XjmOWI55np7y4MUTXDu,https://p.scdn.co/mp3-preview/055d3b2b8a57e602a93ab497650344d182dcbb6f?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.736,0.667,2,-7.901,0,0.0307,0.43,4.42e-05,0.0992,0.4,113.062,https://api.spotify.com/v1/audio-analysis/4B6XjmOWI55np7y4MUTXDu,167520
1TW9J0imyVBMihuwHqJ5sf,https://p.scdn.co/mp3-preview/128368eee04cee56678fcd6e3f9fdf3168ba097d?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.699,0.518,7,-8.624,1,0.0541,0.105,0.161,0.115,0.0508,115.073,https://api.spotify.com/v1/audio-analysis/1TW9J0imyVBMihuwHqJ5sf,240010
0DxTEuqiERU7W4Cfy6IeLa,https://p.scdn.co/mp3-preview/15a2dc715663f7b14874d172731a75d0e96d6961?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.211,0.00756,7,-33.123,1,0.0455,0.994,0.89,0.0734,0.0391,118.247,https://api.spotify.com/v1/audio-analysis/0DxTEuqiERU7W4Cfy6IeLa,184707
2LnlsuPFsJI2ZhSR0UadVB,https://p.scdn.co/mp3-preview/caaa6a1c66fac0ce0b0fd9233af2374f84243747?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.702,0.669,1,-8.011,0,0.0392,0.0148,0.697,0.44,0.353,134.973,https://api.spotify.com/v1/audio-analysis/2LnlsuPFsJI2ZhSR0UadVB,174000
7M3HuQRRAm1QD4kftmq0bb,https://p.scdn.co/mp3-preview/93642b59681e78cc4a9f6956764a2f70d7ec50a7?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.7,0.354,6,-14.043,0,0.0345,0.765,0.00158,0.128,0.245,119.965,https://api.spotify.com/v1/audio-analysis/7M3HuQRRAm1QD4kftmq0bb,227027
4FzGx0UiusrwGAyrDKZYrk,https://p.scdn.co/mp3-preview/77251e238c4ef20c471d5b129d37470fae7b80d6?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.776,0.641,8,-6.925,1,0.0981,0.0486,5.77e-06,0.0977,0.437,128.05,https://api.spotify.com/v1/audio-analysis/4FzGx0UiusrwGAyrDKZYrk,214760
4vinrojHCGhCVLKClUfTcT,https://p.scdn.co/mp3-preview/2e91901ffab851cdaa054e3cb604139c0dbf1ebd?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.666,0.652,6,-6.686,0,0.0894,0.693,0.0,0.0769,0.381,157.38,https://api.spotify.com/v1/audio-analysis/4vinrojHCGhCVLKClUfTcT,198857
53j6c9GYYiLDzOfOxoppFl,https://p.scdn.co/mp3-preview/8d22a9e7b4b972b69e1da2528f2439be4bd8dd6b?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.842,0.495,0,-7.237,1,0.0989,0.352,0.0,0.107,0.511,133.97,https://api.spotify.com/v1/audio-analysis/53j6c9GYYiLDzOfOxoppFl,194080
3WRQUvzRvBDr4AxMWhXc5E,https://p.scdn.co/mp3-preview/b86a22a9673f0c9de7d3186b0be1ce3c4e4ef83d?cid=7596a347c632409f9829d4c3cb9fa3c7,french,0.785,0.525,6,-7.556,1,0.042,0.669,0.439,0.114,0.251,90.853,https://api.spotify.com/v1/audio-analysis/3WRQUvzRvBDr4AxMWhXc5E,238907
